,Real Oil Prices
89,-0.04475774321858106
90,-0.06630777680762412
91,0.004611288896505528
92,-0.03010653826998988
93,0.032340283802623215
94,-0.09140911535293705
95,-0.13653058768757775
96,0.03452119094931394
97,-0.01950366345059029
98,-0.009511833843533157
99,0.11133449159294262
100,0.08370581681277
101,0.06064180191731605
102,0.027619253362591856
103,-0.07135796742049783
104,-0.05393486238642797
105,0.014684727127699748
106,0.016885359631122032
107,-0.05367267352959004
108,0.047349070980005514
109,0.02630157697964064
110,-0.003602912905233513
111,0.06682876510464952
112,-0.010047031258563877
113,-0.06955310195614439
114,-0.06393673690306301
115,0.03707915116278837
116,0.010279145914038779
117,-0.04748498943815127
118,0.0303211022830161
119,0.05490023848128667
120,-0.01415811968378966
121,0.010184000361010526
122,0.10772927175323455
123,0.093034786288273
124,-0.10633532914056687
125,-0.03798659080065647
126,0.0402796009629558
127,0.02650648753217899
128,0.08714079165970157
129,0.03409565585476315
130,-0.051322936643900974
131,0.05961955089034099
132,-0.005855241739525674
133,-0.12675164992649224
134,-0.056724110917302006
135,-0.06309979071420946
136,0.05529542307652102
137,-0.07975806523477758
138,0.019308045960294784
139,0.012152366318924912
140,-0.010031678150406176
141,0.0725732764934004
142,-0.056164719704665966
143,-0.09726660033302181
144,-0.09316877618369412
145,-0.0402738951561612
146,-0.06031333149610374
147,0.013863295357786853
148,-0.031546397302383955
149,-0.08440675332907199
150,0.02981843895729197
151,-0.05188679704250676
152,0.10897139290703439
153,-0.04110547788201169
154,-0.10765635873173984
155,-0.13755807944511633
156,0.0962864538867334
157,-0.04158772399386135
158,0.20013938192856373
159,0.15814574985969676
160,0.022806982667576303
161,0.011223461324320283
162,0.11059439641943625
163,0.05465119915292682
164,0.10773754975199346
165,-0.04954752468584456
166,0.09516845795729445
167,0.04068700642114642
168,0.04052740239382624
169,0.07042716680751315
170,0.010010910096070802
171,-0.14799590044431188
172,0.11100532468731616
173,0.0942427846513838
174,-0.0718473662287491
175,0.05119227628284939
176,0.0752877237102556
177,-0.024716136076459616
178,0.03707879425428695
179,-0.19313475405315872
180,0.03392882163353228
181,-0.0015996380407483635
182,-0.08362663628378142
183,0.0070666525423059845
184,0.035543745184657194
185,-0.038892866011352556
186,-0.041626376085141636
187,0.03494779213118493
188,-0.0476262295440657
189,-0.1642080152701304
190,-0.12060848879077435
191,-0.012247293518090618
192,0.015186213255904857
193,0.04777924888108753
194,0.1659923768122118
195,0.060627118539318126
196,0.031206661271504732
197,-0.058411736644900625
198,0.05303798001758597
199,0.048537903288417894
200,0.04210169341855963
201,-0.030245968071955787
202,-0.09194929147435182
203,0.10991360083897872
204,0.10756705720304804
